ngram,search_word_dist,count,prop
speaker to be that,0.6818181818181819,1,1
speaker to have fair,0.6818181818181819,1,1
speaker to see this,0.6818181818181819,1,1
speaker to the country,0.6818181818181819,1,1
speaker to the faot,0.7272727272727273,1,1
speaker to the fine,0.6818181818181819,1,1
speaker to the head,0.7272727272727273,1,1
speaker to the hon,0.7272727272727273,1,1
speaker to the law,0.7272727272727273,1,1
speaker to the louse,0.6818181818181819,1,1
speaker to the matter,0.6818181818181819,1,1
speaker to the meanin,0.7272727272727273,1,1
speaker to the other,0.7272727272727273,1,1
speaker to the party,0.6818181818181819,1,1
speaker to the rule,0.6818181818181819,1,1
speaker to the same,0.7272727272727273,1,1
speaker to the senate,0.6818181818181819,1,1
speaker to the speaker,0.6818181818181819,1,1
speaker to the time,0.6818181818181819,1,1
speaker to the to,0.6818181818181819,1,1
speaker to the was,0.7272727272727273,1,1
speaker to the well,0.6818181818181819,1,1
speaker to the wole,0.6818181818181819,1,1
speaker to tie the,0.6818181818181819,1,1
speaker to to this,0.6818181818181819,1,1
speaker to try this,0.6818181818181819,1,1
speaker tok the ha,0.8181818181818181,1,1
speaker tonk the chair,0.9545454545454546,1,1
speaker too when the,0.6818181818181819,1,1
speaker tooh the chair,0.9545454545454546,1,1
speaker took any other,0.6818181818181819,1,1
speaker took bis chair,0.8636363636363636,1,1
speaker took biy homer,0.6818181818181819,1,1
speaker took his chair,0.8636363636363636,1,1
speaker took lic chair,0.8636363636363636,1,1
speaker took lthe chair,0.9565217391304348,1,1
speaker took tha chair,0.9545454545454546,1,1
speaker took that rooi,0.7272727272727273,1,1
speaker took the 2i,0.8181818181818181,1,1
speaker took the 3hair,0.9545454545454546,1,1
speaker tôok the chair,0.9545454545454546,1,1
speâker took the chair,0.9545454545454546,1,1
speaker took the chairat,0.9166666666666666,1,1
speaker took the chlair,0.9565217391304348,1,1
speaker took the choir,0.9545454545454546,1,1
speaker took the clair,0.9545454545454546,1,1
speaker took the cuss,0.8181818181818181,1,1
speaker took the h.mir,0.8636363636363636,1,1
speaker took the happy,0.8181818181818181,1,1
speaker took the same,0.8181818181818181,1,1
speaker took the uhair,0.9545454545454546,1,1
speaker took the ý,0.7727272727272727,1,1
speaker took tlie chair,0.9130434782608696,1,1
speaker took uhcchair at,0.75,1,1
speaker took was that,0.7272727272727273,1,1
speaker took1 the chair,0.9565217391304348,1,1
speaker tookc the chair,0.9565217391304348,1,1
speaker tookthe chair at,0.8333333333333334,1,1
speaker tool4 the chair,0.9130434782608696,1,1
speaker toolk the chair,0.9565217391304348,1,1
speaker tootr the chair,0.9130434782608696,1,1
speaker touk the chair,0.9545454545454546,1,1
speaker true he sir,0.6818181818181819,1,1
speaker tuat the canadian,0.6799999999999999,1,1
speaker was the case,0.6818181818181819,1,1
speaker when the change,0.6956521739130435,1,1
speaker when the copies,0.6521739130434783,1,1
speaker while the chair,0.782608695652174,1,1
speaker who the hon,0.6818181818181819,1,1
speaker who then had,0.6818181818181819,1,1
speaker why the that,0.6818181818181819,1,1
speaker with the canals,0.6521739130434783,1,1
speaker with the said,0.6818181818181819,1,1
speaker with the third,0.6818181818181819,1,1
speaker you the case,0.7272727272727273,1,1
speaker's absence the chair,0.6666666666666667,1,1
speakeri tok th chair,0.8636363636363636,1,1
speakeri took the chair,0.9565217391304348,1,1
speakerl took the chair,0.9565217391304348,1,1
speakerld et the chair,0.7727272727272727,1,1
speakers upon the half,0.6818181818181819,1,1
speakert left the cair,0.7272727272727273,1,1
speakert took the chair,0.9565217391304348,1,1
speakes took the chair,0.9545454545454546,1,1
speakeýr took thie chair,0.9166666666666666,1,1
speakeza took the chair,0.9130434782608696,1,1
speakie took the chair,0.9090909090909091,1,1
speakiei took the chair,0.9130434782608696,1,1
speaking to the chair,0.7727272727272727,1,1
speakmr took the chair,0.9545454545454546,1,1
speakp took the chair,0.9090909090909091,1,1
speâkr took the chair,0.9090909090909091,1,1
speakr took tho chair,0.9090909090909091,1,1
speakrjono toous the chair,0.7307692307692308,1,1
speakur took the chair,0.9545454545454546,1,1
speakz took the chair,0.9090909090909091,1,1
speamer took the chair,0.9545454545454546,1,1
speamia took the chair,0.8636363636363636,1,1
spean took the chair,0.8636363636363636,1,1
speanepr took the chair,0.9130434782608696,1,1
speanker took the chair,0.9565217391304348,1,1
spearer took the chair,0.9545454545454546,1,1
spearier took the chair,0.9130434782608696,1,1
spearur took the chair,0.9090909090909091,1,1
spearv took the chair,0.8636363636363636,1,1
spearza took the chair,0.8636363636363636,1,1
speaxee took the chair,0.9090909090909091,1,1
speâxzu took the chair,0.8181818181818181,1,1
speaýker too0k the chair,0.9166666666666666,1,1
speaz.a took the chair,0.8636363636363636,1,1
speaza took the chair,0.8636363636363636,1,1
specar took the chair,0.8636363636363636,1,1
specau took the chair,0.8181818181818181,1,1
speczra took the chair,0.8181818181818181,1,1
spefiker left the chair,0.7391304347826086,1,1
spegker left the chair,0.7727272727272727,1,1
spei'aker took the chair,0.9166666666666666,1,1
speiker took the chair,0.9545454545454546,1,1
speira took the chair,0.8181818181818181,1,1
spekçe took the chair,0.8636363636363636,1,1
spekiai took the chair,0.8181818181818181,1,1
speraku took the chair,0.8636363636363636,1,1
sperb took the chair,0.8181818181818181,1,1
spesakea took the chair,0.9130434782608696,1,1
spfeaker toiok the cbalr,0.8333333333333334,1,1
sphinr teck the chair,0.7272727272727273,1,1
spiaer took the chair,0.9090909090909091,1,1
spiakea took the chair,0.9090909090909091,1,1
spiaker took the chair,0.9545454545454546,1,1
spiakma took the chair,0.8636363636363636,1,1
spiakre took the chair,0.9090909090909091,1,1
spiammn took the chair,0.8181818181818181,1,1
spîamr took the chair,0.8636363636363636,1,1
spiariea took the chair,0.8260869565217391,1,1
spiarra took the chair,0.8181818181818181,1,1
spiâua took the chair,0.7727272727272727,1,1
spiaum took the chair,0.8181818181818181,1,1
spiaxn took the chair,0.8181818181818181,1,1
spiazmu took the chair,0.8181818181818181,1,1
spieaker left the chair,0.782608695652174,1,1
spieaker tack the chair,0.8695652173913043,1,1
spierae took the chair,0.8181818181818181,1,1
spigaker took the chair,0.9130434782608696,1,1
spike took the cair,0.8181818181818181,1,1
spiluar took the chair,0.8181818181818181,1,1
spimm took the chair,0.7727272727272727,1,1
spitàn took the chair,0.7727272727272727,1,1
spitr took the chair,0.8181818181818181,1,1
spjaker took the chair,0.9545454545454546,1,1
spmea took the chair,0.8181818181818181,1,1
spmm took the chair,0.7727272727272727,1,1
spmtea took the chair,0.8181818181818181,1,1
spoke in the chair,0.6818181818181819,1,1
sprake took the chair,0.9090909090909091,1,1
sprarma took the chair,0.8181818181818181,1,1
spraxzr took the chair,0.8636363636363636,1,1
spreâkea took the chair,0.8695652173913043,1,1
spsaen took the chair,0.8636363636363636,1,1
spsafe wtook the chair,0.8181818181818181,1,1
spuaarn took thé chair,0.7727272727272727,1,1
spuaker took the chair,0.9545454545454546,1,1
spuiar took the chair,0.8181818181818181,1,1
spuixre took the chair,0.8181818181818181,1,1
spuker took the chtir,0.8636363636363636,1,1
spuxa took the chair,0.7727272727272727,1,1
spuxi took the chair,0.7727272727272727,1,1
spxmxa took the chair,0.7727272727272727,1,1
spyazra took the chair,0.8181818181818181,1,1
spza.ken took the chair,0.8695652173913043,1,1
spza.kza took tlie chair,0.75,1,1
spzàakre1 took the chair,0.8333333333333334,1,1
spzaeza took the chair,0.8181818181818181,1,1
spzaiker took the chair,0.9130434782608696,1,1
spzaka took the chair,0.8636363636363636,1,1
spzakea took the chair,0.9090909090909091,1,1
spzàker took the chair,0.9090909090909091,1,1
spzaker took thu chair,0.9090909090909091,1,1
spzakia took the chair,0.8636363636363636,1,1
spzakra took the chair,0.8636363636363636,1,1
spzaku took the chair,0.8636363636363636,1,1
spzakza took the chair,0.8636363636363636,1,1
spzankgi took the chair,0.8260869565217391,1,1
spzarsa took the chair,0.8181818181818181,1,1
spzat.rma took the chair,0.7916666666666666,1,1
